Designator,Mid X,Mid Y,Rotation,Layer
_469,143.5,-88.92,270.0,top
_468,153.66,-88.92,270.0,top
_467,153.66,-91.47,270.0,top
_466,151.12,-91.47,270.0,top
_465,156.2,-91.47,270.0,top
_464,151.12,-88.92,270.0,top
_463,148.58,-88.92,270.0,top
_462,171.44,-94.01,270.0,top
_461,163.82,-94.01,270.0,top
_460,173.98,-94.01,270.0,top
_459,184.14,-94.01,270.0,top
_458,204.46,-94.01,270.0,top
_457,186.68,-94.01,270.0,top
_456,156.2,-88.92,270.0,top
_455,166.36,-94.01,270.0,top
_454,161.28,-94.01,270.0,top
_453,201.92,-94.01,270.0,top
_452,189.22,-94.01,270.0,top
_451,194.3,-94.01,270.0,top
_450,179.06,-94.01,270.0,top
_449,207.0,-94.01,270.0,top
_448,196.84,-94.01,270.0,top
_447,181.6,-94.01,270.0,top
_446,168.9,-94.01,270.0,top
_445,176.52,-94.01,270.0,top
_444,209.54,-94.01,270.0,top
_443,199.38,-94.01,270.0,top
_442,191.76,-94.01,270.0,top
_441,166.36,-91.47,270.0,top
_440,161.28,-91.47,270.0,top
_439,173.98,-91.47,270.0,top
_438,209.54,-91.47,270.0,top
_437,201.92,-91.47,270.0,top
_436,186.68,-91.47,270.0,top
_435,163.82,-91.47,270.0,top
_434,184.14,-91.47,270.0,top
_433,204.46,-91.47,270.0,top
_432,171.44,-91.47,270.0,top
_431,189.22,-91.47,270.0,top
_430,199.38,-91.47,270.0,top
_429,194.3,-91.47,270.0,top
_428,179.06,-91.47,270.0,top
_427,191.76,-91.47,270.0,top
_426,176.52,-91.47,270.0,top
_425,207.0,-91.47,270.0,top
_424,168.9,-91.47,270.0,top
_423,166.36,-88.92,270.0,top
_422,181.6,-91.47,270.0,top
_421,171.44,-88.92,270.0,top
_420,212.08,-91.47,0.0,top
_419,161.28,-88.92,270.0,top
_418,163.82,-88.92,270.0,top
_417,196.84,-91.47,270.0,top
_416,173.98,-88.92,270.0,top
_415,184.14,-88.92,270.0,top
_414,201.92,-88.92,270.0,top
_413,186.68,-88.92,270.0,top
_412,204.46,-88.92,270.0,top
_411,189.22,-88.92,270.0,top
_410,209.54,-88.92,270.0,top
_409,194.3,-88.92,270.0,top
_408,199.38,-88.92,270.0,top
_407,179.06,-88.92,270.0,top
_406,191.76,-88.92,270.0,top
_405,176.52,-88.92,270.0,top
_404,207.0,-88.92,270.0,top
_403,212.08,-76.22,0.0,top
